id,userId,yachtId,type,weight,createdAt,updatedAt
e5450f12-fe45-4ee7-8a2b-3fdd2902e155,d04f2afb-3469-468f-9563-81a2b35084d9,30a9be08-28a0-4b54-8043-a4c370ff2b1b,view,2,2025-01-03 03:56:57.953210,2025-01-03 03:56:57.953210
864b4fc1-6f98-4c61-9d50-778b5351ad69,9ef65e65-7bca-4ee4-93f7-f6747a82d60f,0760a136-9b65-4fc1-9989-b629c7138855,view,2,2025-01-05 13:33:18.508695,2025-01-05 13:33:18.508695
700281dd-7765-4fb9-ac26-e9d313b8cb1f,a5db4c79-05e1-4988-a6ef-825eb0c03fab,d17d01c3-d781-4a7b-a412-cbabc7ce7f28,view,2,2025-01-07 22:37:05.364108,2025-01-07 22:37:05.364108
18177e9d-71ca-4890-80da-1c299006ef35,c298b6dc-d8c7-4b63-93a9-1c4bfad50670,b609876e-4d8c-4c8e-b65f-f99d2afc1d1f,book,10,2025-01-09 06:17:51.559082,2025-01-09 06:17:51.559082
149619f2-f77f-45bb-8d79-f5e5185e84b8,d04f2afb-3469-468f-9563-81a2b35084d9,e75536e6-2259-492d-a8f7-6e56bb2dc795,view,2,2025-01-10 05:44:57.009614,2025-01-10 05:44:57.009614
c8c6ab46-3433-4402-9264-c19de440a5c2,642bfef9-8441-469a-9810-a53bec4bdf98,c33933ab-e3b4-4d7b-a211-20ce00e2a773,wishlist,4,2025-01-10 14:17:04.218993,2025-01-10 14:17:04.218993
cb97821f-f1ac-4878-9edc-3c222e57ea16,9e88f494-56c9-497a-bee7-d294a5d66af1,146fecd9-2be3-4b1f-9ab1-63739d50aac4,view,2,2025-01-11 01:23:44.599455,2025-01-11 01:23:44.599455
5ca351be-30ec-462f-8da4-82afdc476e53,a2a11982-f121-4740-a445-5d10e0232478,6724a13b-a193-4920-809b-e353562be00e,view,2,2025-01-12 23:40:21.492122,2025-01-12 23:40:21.492122
667069b6-2769-4d00-8bac-034b7fdcdfa3,ea757511-4c3c-4e59-97c5-36256a5d95c0,75b847df-a1ee-4637-bcf9-cc81e1fe88d9,view,2,2025-01-13 06:32:07.466408,2025-01-13 06:32:07.466408
76db00f2-b799-40ad-b558-21dbe7896b6d,7c16a746-b9fe-49cd-b32c-255a5731066e,45e5b613-2fb8-4a6b-9fba-2c139ea67304,view,2,2025-01-13 13:56:16.765776,2025-01-13 13:56:16.765776
8fb6293a-3a1d-4be2-8c0d-ddfb1d7cf0dc,1e82f87d-18b2-472a-b6fb-d079d6e3bf7e,5384da3d-b4a4-4158-98bd-1c10ccf17a08,view,2,2025-01-14 03:04:09.960034,2025-01-14 03:04:09.960034
88b269d7-afd0-4e39-8120-1a489511bfef,c298b6dc-d8c7-4b63-93a9-1c4bfad50670,b609876e-4d8c-4c8e-b65f-f99d2afc1d1f,view,2,2025-01-14 14:46:24.512372,2025-01-14 14:46:24.512372
44b27e69-72a6-4325-82dd-3ac8486155ea,834349ed-1222-4a94-8fe0-05544d524298,fff1de80-faa4-455c-b5d2-b53abd8b14ec,view,2,2025-01-15 19:16:47.434646,2025-01-15 19:16:47.434646
2537d8fa-bec9-437c-b371-a8eed5ed2667,cd0af6a2-8523-4c6a-9a84-ad7565eaf442,b4e98d41-2f13-4520-b23b-b010980af695,view,2,2025-01-16 04:38:16.745025,2025-01-16 04:38:16.745025
3f9ac3b6-764c-4ff8-b535-ac553f9e3f8a,ea757511-4c3c-4e59-97c5-36256a5d95c0,08659337-e017-4033-815a-8340e53d74c3,wishlist,4,2025-01-17 18:55:50.188559,2025-01-17 18:55:50.188559
5c2e1474-5c0b-4b9b-a23c-a3f3fb3152ad,d04f2afb-3469-468f-9563-81a2b35084d9,30a9be08-28a0-4b54-8043-a4c370ff2b1b,view,2,2025-01-17 20:26:29.737218,2025-01-17 20:26:29.737218
6f8e7be7-e64c-474f-8057-a4a0cdd07cbc,d04f2afb-3469-468f-9563-81a2b35084d9,30a9be08-28a0-4b54-8043-a4c370ff2b1b,view,2,2025-01-18 05:24:10.605339,2025-01-18 05:24:10.605339
